answer,content,id,title,view,vote
0,I'm building a Typer app with lots of commands. I want to categorize the commands into subfiles but am unsure how to resolve the dependencies.|├── melvil│   ├── add.json│   ├── book│   │   ├── ...,73469027,How to resolve mutual dependencies between a main script and submodules needing access to a global variable from the script?,1,0
0,"I am building an app using django and drf.While testing a serializer, I found the serializer could not save data to database because of null constraints.Below is the test code, serializer and model....",73469009,serializer.data and serializer.validated_data is blank when a serializer is initialized by dictionary,1,0
-1,"How can we create a new column, i.e. error_flag_type, whose value depends upon the groupby at student_idThe data looks like this:
student_idsubject_iderrorteam
11yesA
12A
13A
1yes...",73468998,Pandas fill value in another column depending upon GroupBy values,1,-1
1,"I am struggling to interpret a month and day (MMDD, or MM_DD in my case) info as ""Time"" in my Altair graph.The data I am working with contains the daily level of a lake from year 1850 until ...",73468997,How to interpret MM_DD as time information for Altair graph?,0,1
-1,"I have function for connect to Smb drive:SMB_CONN = 'smb://192.168.10.105/Shares'subprocess.Popen(f'open {SMB_CONN}'.split(' '))But this code calls popup window with saved login, password & ...",73468968,Python SMB connect automatically,0,-1
0,After runningpython manage.py runserver I got a migration suggestion  You have 9 unapplied migration(s). Your project may not work properly until you apply the migrations for app(s): ...,73468964,How to solve AttributeError of rest_framework_simplejwt/token_blacklist migration error?,0,0
0,The problem description: I have a python code in Bitbucket which is deployed to the AWS to be executed as a lambda function. The setup is based on this guide:https://bitbucket.org/blog/aws-lambda-...,73468949,Storing and passing credentials to AWS Lambda from Bitbucket,1,0
0,I am using Tweepy.StreamingFClient to get some tweets but I am not able to get the username even if I add the filters. I am using the v.4.10.1 of Tweepyfrom tweepy import StreamingClientclass ...,73468944,How do I get username on tweepy streamer?,1,0
-2,"async def index(request):return HttpResponse(""Hello, async Django!"")anddef index(request):return HttpResponse(""Hello, Django!"")",73468903,Difference between Django normal and Async views,0,-2
0,I am using xarray to plot 2D maps but I want to specify values on the colorbar with lines or markers.Adding markers or lines to colorbar in matplotlib shows how to add lines to a colorbar that is ...,73468893,How can I draw a line at a specific value on a colorbar while using Xarray?,0,0
0,"I'm using ubuntu 22.04 and I'm trying to use virtualenvwrapper, after following it installation instructions and restarting my pc, I found this errors when I loginThe files seem to be createdbut ...",73468892,Error Found in various virtualenvwrapper.user_scripts when loading .profile,0,0
0,"I'm beginner in VScode. When I run code in vs code, the below Error is happend. Please Help.. I tried to install VScode again and again, but didn't worked.c:\anaconda\lib\site-packages\traitlets\...",73468882,Can't running code in jupyter notebook in VS code,0,0
0,Let's say we have the following models:class Site(models.Model):    # This is djangos build-in Site Model    passclass Organization(models.Model):    site = models.OneToOneField(Site)And if I ...,73468846,Django: typehinting backward / related_name / ForeignKey relationships,2,0
0,"I've got a dataframe with two columns one is datetime dataframe consisting of dates, and another one consists of quantity. It looks like something like this,       Date   Quantity0   2019-01-05  10...",73468833,Grouping of a dataframe monthly after calculating the highest daily values,2,0
2,I am relatively new to Pandas. I need help with splitting certain sections of columns and organizing them into different sections (countries sorted into regions). I tried some methods I thought of and ...,73468819,How to print out parts of columns in pandas python,1,2
0,"How to count the same data in column A, different data in column B and different data in column C
countiesABC
city1102030
city1102131
In the case of the above data, city1 is added by one",73468816,"How to count the same data in column A, different data in column B and different data in column C",0,0
-3,"I'm struggling to discover a way where I can limit the number of items that can be ordered to five. When I say limit the item's to five, I specifically mean 'quantity' in order_dict - I want the sum ...",73468744,Limiting the number of items allowed in a dictionary,1,-3
1,I'm trying to login to a this website: https://advertising.flipkart.com/I need to download and automate some reports as their console is not great but its been a while since I've used selenium and I'...,73468728,Automate the login to the flipkart advertising console using selenium with python,2,1
0,"I have the followinf connection using psycopg: conn = psycopg2.connect(            host=os.environ['DATABASE_HOST'],            port=os.environ['DATABASE_PORT'],            database=str(base64....",73468698,Psycopg search path error when using dblink internally,0,0
0,"I am using Kaggle to create a categorical image classifier with 100 different categories of fast food. When I run the compiling and fitting section of the code, it gets stuck on epoch 2 and the ...",73468682,How do I fix my image classifier's validation epoch,0,0
-2,"When I open and excel file, the excel show me a message.""Do you want to open this excel file anyway?"" Yes, No, CancelI want to open it by python and automatically click Yes by python too, ...",73468622,how to open an excel file with python and push a button? [closed],1,-2
